Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
X,Completely Locked,06/22/2020 10:27:08 AM,X257,X257,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,E. 177 St. at Walton Ave.,Mount Hope Playground,POINT (-73.90952596761933 40.85020604623722),Adults not allowed in some locations,X257-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
X,Partially Locked,06/22/2020 11:16:43 AM,X165,X165,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Schieffelin Ave. bet. E. 266 Dr. and E. 229 St.,Edenwald Playground,POINT (-73.84517577483462 40.88393161222554),Adults Allowed,X165-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-12
B,Not Lockable,06/22/2020 03:35:31 PM,B159,B159-01,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,Eastern Pkwy Between Washington Ave & Flatbush Ave,Mt Prospect Park Playground,POINT (-73.96608484505705 40.672090477679674),Adults not allowed in some locations,B159-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,355,B-08
Q,Completely Locked,06/21/2020 06:41:49 PM,Q102,Q102-03,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"72 St, 74st, Juniper Blvd South",Juniper South Playground,POINT (-73.8827554863334 40.71845598805235),Unknown,Q102-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
R,Not Lockable,06/22/2020 02:56:45 PM,R119,R119-01,,Reopened,false,Not Applicable,"Next To Nature Ctr At 222 Poillon Ave, Btw Amboy Rd, Hylan Blvd",Blue Heron Tot Lot,POINT (-74.17748515187235 40.53081764593515),Adults not allowed in some locations,R119-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
B,Completely Locked,06/22/2020 03:45:07 PM,B235,B235,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Ave. V between Nostrand Ave. and Batchelder St.,Herman Dolgon Playground,POINT (-73.93949161638577 40.59817760643549),Adults Allowed,B235-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,315,B-15
M,Completely Locked,06/22/2020 01:02:37 PM,M239,M239,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"E. 117 St. To E. 118 St., 1 Ave. To 2 Ave.",P.S. 155 Playground,POINT (-73.93521856410459 40.797376709451335),Adults Allowed,M239-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
Q,Completely Locked,06/22/2020 03:15:05 PM,Q067A,Q067A,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Broadway, 37 Ave. bet. 65 St. and 69 St.",General Hart Playground,POINT (-73.89746832776348 40.74878845364598),Adults Allowed,Q067A-CPA-0001,03/31/2020 07:11:11 PM,,402,Q-02
R,Completely Locked,06/22/2020 02:26:45 PM,R064,R064,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"Schmidts La., Manor Rd. and Laguardia Ave.",Christopher J. Igneri Playground,POINT (-74.11972103938858 40.608684852850764),Adults Allowed,R064-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,502,R-02
X,Completely Locked,06/22/2020 10:30:28 AM,X013,X013-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Sedgwick Ave & Fordham Rd,Devoe Park,POINT (-73.90780805719162 40.86315850486025),Adults not allowed in some locations,X013-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,207,X-05
Q,Completely Locked,06/21/2020 06:58:29 PM,Q360G,Q360G,,Reopened,false,Not Applicable,"55 Dr., Hamilton Pl., Perry Ave.",Whitefish Triangle,POINT (-73.89890066709265 40.725093972369336),Adults not allowed in some locations,Q360G-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
B,Completely Locked,06/22/2020 03:01:03 PM,B385,B385,true,Reopened,,,,Transmitter,POINT (-73.96075155236146 40.729860595826246),,,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
M,Completely Locked,06/22/2020 03:56:53 PM,M122,M122,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Rutgers St. and Henry St.,Captain Jacob Joseph Playground,POINT (-73.98983054392062 40.713612991163664),Adults not allowed in some locations,M122-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,103,M-03
Q,Completely Locked,06/21/2020 06:41:49 PM,QT05,QT05,,Reopened,true,Not Applicable,60 St. bet. Borden Ave. and 55 Dr.,Copernicus Triangle,POINT (-73.905647631551 40.72599290168484),Adults not allowed in some locations,QT05-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
B,Completely Locked,06/22/2020 04:39:23 PM,B220,B220,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Park Ave. bet. Washington Ave. and Hall St.,Washington Hall Park,POINT (-73.9666142876403 40.695244082862324),Adults Allowed,B220-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
B,Completely Locked,06/22/2020 12:40:17 PM,B227,B227,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Ave. bet. Blake Ave. and Dumont Ave.,P.S. 125 Playground,POINT (-73.90926429519091 40.66513125352902),Adults Allowed,B227-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,316,B-16
Q,Completely Locked,06/22/2020 03:14:24 PM,Q205A,Q205A,,Reopened,false,Not Applicable,Laurel Hill Blvd. bet. 61 St. and 64 St.,Big Bush Playground,POINT (-73.9020902128021 40.74026954073168),Adults Allowed,Q205A-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
X,Completely Locked,06/22/2020 11:04:07 AM,X160,X160,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,St. Raymond's Ave. bet. Odell St. and Purdy St.,Caserta Playground,POINT (-73.85364325524283 40.83730541231291),Adults Allowed,X160-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,209,X-09
Q,Completely Locked,06/21/2020 02:55:40 PM,Q421,Q421,,Reopened,false,Not Applicable,160 Ave. bet. 88 St. and 89 St.,Walter Ward Playground,POINT (-73.84372515488458 40.65713470739692),Adults Allowed,Q421-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
M,Completely Locked,06/22/2020 03:29:11 PM,M071,M071-04,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W 76 St & Riverside Dr,Neufeld Plgd,POINT (-73.9849482300509 40.78347052200626),Unknown,M071-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-14
Q,Partially Locked,06/22/2020 04:52:54 PM,Q005,Q005-05,,Reopened,false,Not Applicable,157 St & 116 Ave,157 St Playground,POINT (-73.78640825493197 40.68478457436608),Unknown,Q005-CPA-0003,03/31/2020 07:11:11 PM,,412,Q-12
Q,Not Lockable,06/21/2020 04:25:14 PM,Q011,Q011,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"20 Ave., 21 Ave. bet. 123 St. and 124 St.",Poppenhusen Playground,POINT (-73.84453372588767 40.7813709014247),Adults Allowed,Q011-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:25:12 PM,407,Q-07
B,Partially Locked,06/22/2020 03:07:46 PM,B257,B257,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Frost St. bet. Debevoise Ave. and Kingsland Ave.,Frost Playground,POINT (-73.93924066197896 40.71868533333982),Adults not allowed in some locations,B257-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
B,Completely Locked,06/22/2020 04:20:06 PM,B210I,B210I,,Reopened,false,Not Applicable,3 Ave. bet. 40 St. and 41 St.,Gonzalo Plasencia Playground,POINT (-74.00806096014698 40.652254060020795),Adults Allowed,B210I-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,307,B-07
Q,Completely Locked,06/21/2020 03:20:07 PM,Q108,Q108,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Brookville Blvd. bet. 136 Ave. 137 Ave.,Laurelton Playground,POINT (-73.73616202020527 40.67053015469964),Adults Allowed,Q108-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:20:04 PM,413,Q-13
Q,Completely Locked,06/22/2020 03:11:56 PM,Q044,Q044,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"47 Ave., Greenpoint Ave. bet. 42 St. and 43 St.",L/CPL Thomas P. Noonan Jr. Playground,POINT (-73.92226563885282 40.74114951016331),Adults Allowed,Q044-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
B,Completely Locked,06/22/2020 03:00:27 PM,B001,B001,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Franklin St. bet. Milton St. and Noble St.,American Playground,POINT (-73.95802243266704 40.728585809805594),Adults Allowed,B001-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
B,Completely Locked,06/22/2020 01:38:44 PM,B352,B352,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Foster Ave. between E. 81 St. and E. 82 St.,Curtis Playground,POINT (-73.91736295601812 40.640976520387),Adults Allowed,B352-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Partially Locked,06/22/2020 05:21:32 PM,M045,M045,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"FDR Dr., E 76 St. To E 78 St.",John Jay Park,POINT (-73.94949284729812 40.76954113081193),Adults not allowed in some locations,M045-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,108,M-08
M,Completely Locked,06/23/2020 09:15:41 AM,M283A,M283A,,Reopened,false,Not Applicable,bet. Hudson River and South End Ave. S/o Liberty St.,Battery Park City,POINT (-74.01724590525377 40.7120190525531),Unknown,M283A-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,101,M-01
M,Completely Locked,06/22/2020 11:11:06 AM,M010,M010-207,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,108 St & Fifth Ave,Bernard Plgd,POINT (-73.95041266720263 40.79571048920544),Unknown,M010-CPA-0018,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
Q,Completely Locked,06/22/2020 06:25:15 PM,Q123,Q123,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,14 St. bet. 31 Ave. and 31 Dr.,Astoria Health Playground,POINT (-73.9327095184499 40.76797798915183),Adults Allowed,Q123-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
B,Completely Locked,06/22/2020 03:35:31 PM,B245,B245-02,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Troy Ave & Prospect Place,St. John's Playground,POINT (-73.93580943382551 40.67399163264649),Adults not allowed in some locations,B245-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,308,B-08
Q,Completely Locked,06/21/2020 03:54:38 PM,Q400,Q400,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Springfield Blvd. bet. 53 Ave. and 56 Ave.,Oakland Gardens,POINT (-73.75956168855443 40.75315538778157),Adults not allowed in some locations,Q400-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:54:35 PM,411,Q-07A
B,Not Lockable,06/22/2020 04:19:50 PM,B077,B077-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"King, Richards & Dwight Sts",Coffey Park Playground,POINT (-74.00872275061043 40.676907922843014),Adults not allowed in some locations,B077-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
B,Completely Locked,06/22/2020 04:19:50 PM,B095,B095,,Reopened,false,Not Applicable,"11 St., 12 St. bet. 2 Ave. and 3 Ave.",Ennis Playground,POINT (-73.99357315475815 40.6707361691877),Adults Allowed,B095-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,306,B-06
X,Completely Locked,06/22/2020 10:27:54 AM,X001A,X001A-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Morton Pl & University Ave,Morton Plgd,POINT (-73.91423156715948 40.851204610576566),Adults Allowed,X001A-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
Q,Completely Locked,06/22/2020 01:29:55 PM,Q014,Q014,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,30 Rd. bet. 45 St. and 46 St.,Astoria Heights Playground,POINT (-73.9115766283439 40.76083193602498),Unknown,Q014-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
M,Completely Locked,06/22/2020 11:09:39 AM,M010,M010-089,,Reopened,false,Not Applicable,68 St & Central Park West (W),Adventure Playground,POINT (-73.97752128283793 40.77327447038719),Unknown,M010-CPA-0004,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,164,M-13
M,Partially Locked,06/22/2020 11:06:31 AM,M219,M219,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,W. 78 St. and Amsterdam Ave.,Tecumseh Playground,POINT (-73.97887995360031 40.78194156880009),Adults Allowed,M219-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,107,M-07
M,Completely Locked,06/22/2020 03:27:08 PM,M028,M028-03,,UnderConstruction,false,Not Applicable,"Within Zone 1A, Along Hudson River At Approximately W 163 St",Discovery Playground,POINT (-73.94767461839041 40.84018108695653),Adults not allowed in some locations,M028-CPA-0002,03/31/2020 07:11:11 PM,,112,M-14
B,Completely Locked,06/22/2020 04:36:14 PM,B223DA,B223DA,,Reopened,false,Not Applicable,"Atlantic Ave., Columbia Pl., State St.",Adam Yauch Park,POINT (-73.99867988890037 40.69197830282726),Adults Allowed,B223DA-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
Q,Completely Locked,06/21/2020 02:55:40 PM,Q408,Q408,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,155 Ave. bet. 83 St. and 84 St.,Harold Schneiderman Playground,POINT (-73.85064519473025 40.664838169212),Adults Allowed,Q408-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 02:55:37 PM,410,Q-10
M,Completely Locked,06/22/2020 05:21:19 PM,M079,M079,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"1 Ave., bet. E. 67 St. To E. 68 St.",St. Catherine's Park,POINT (-73.95854247274906 40.76503180461184),Adults Allowed,M079-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,108,M-08
B,Completely Locked,06/22/2020 03:35:50 PM,B121,B121,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,Dodger Playground,POINT (-73.95236841864265 40.664983584990715),Adults not allowed in some locations,B121-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,309,B-09
B,Completely Locked,06/22/2020 03:22:32 PM,B022,B022,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lynch St., Middleton St. bet. Lee Ave. and Bedford Ave.",Middleton Playground,POINT (-73.95555232551513 40.70059615087309),Adults Allowed,B022-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
X,Completely Locked,06/22/2020 10:42:31 AM,X092,X092-05,,Reopened,true,Level 3: Accessible Playgrounds with Universally Accessible Swings,"VC Park South, Gouverneur Ave",Van Cortlandt Classic Plgd,POINT (-73.89038886968163 40.885210581173624),Adults Allowed,X092-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,226,X-13
M,Completely Locked,06/22/2020 12:56:10 PM,M155,M155,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"5 Ave., W. 130 St. To .W 131 St.",Courtney Callender Playground,POINT (-73.93997742498641 40.810115167769666),Adults Allowed,M155-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,110,M-10
M,Partially Locked,06/22/2020 11:39:17 AM,M009,M009,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Ft Washington Av, W 183 St, Pinehurst Av",Bennett Park,POINT (-73.93801412399652 40.85321800188917),Adults Allowed,M009-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
B,Completely Locked,06/23/2020 10:09:07 AM,B073,B073-09,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ocean Ave & E Lake Dr,Imagination Plgd,POINT (-73.9629698683553 40.65861003719584),Unknown,B073-CPA-0004,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,355,B-19
Q,Partially Locked,06/23/2020 11:09:23 AM,Q307,Q307,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,121 Ave. bet. 235 St. and 237 St.,Delphin H. Greene Playground,POINT (-73.72908520897744 40.68440268739723),Adults Allowed,Q307-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:00:00 AM,413,Q-13
X,Completely Locked,06/22/2020 10:29:02 AM,X300,X300,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W. 180 St. bet. Davidson Ave. and Grand,Davidson Playground,POINT (-73.90766638360328 40.85510831956887),Unknown,X300-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
X,Completely Locked,06/22/2020 09:41:58 AM,X030,X030-99,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Summit Ave & W 161 Street,Summit Playground,POINT (-73.93157136206523 40.83070373138211),Adults not allowed in some locations,X030-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
B,Completely Locked,06/24/2020 11:33:55 AM,B032,B032-02,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,DeKalb Ave & Washington Pk,Fort Greene Park,POINT (-73.97368981550773 40.69028369166814),Unknown,B032-CPA-0002,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,302,B-02
Q,Completely Locked,06/22/2020 01:28:32 PM,Q332,Q332,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,20 Ave. bet. 37 St. and 38 St.,Woodtree Playground,POINT (-73.90254981222363 40.77734893753716),Adults Allowed,Q332-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
X,Completely Locked,06/22/2020 09:56:08 AM,X207,X207,,Reopened,false,Not Applicable,Jackson Ave. bet. E. 151 St. and E. 149,Pontiac Playground,POINT (-73.90835105941449 40.81441376280837),Adults Allowed,X207-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
Q,Partially Locked,06/19/2020 01:39:39 PM,Q362,Q362,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"89 St., 90 St. bet. Northern Blvd. and Jackson Mill Rd.",Playground Ninety,POINT (-73.87859693257602 40.757537756487174),Adults Allowed,Q362-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 01:39:36 PM,403,Q-03
X,Completely Locked,06/22/2020 09:36:33 AM,X045,X045-02,,Reopened,false,Not Applicable,St Marys St & Crimmins Ave,St Mary's Plgd South,POINT (-73.91390104045239 40.81038501737071),Adults not allowed in some locations,X045-CPA-0002,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
M,Completely Locked,06/22/2020 01:04:44 PM,M204,M204,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Madison Ave. bet. E. 130 St. and E. 131 St.,Moore Playground,POINT (-73.93842163821196 40.80951407264196),Adults not allowed in some locations,M204-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
X,Not Lockable,06/22/2020 09:49:02 AM,X114,X114,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Goble Pl bet. Inwood Av and Macombs Rd,Goble Playground,POINT (-73.91720394566426 40.84378131675461),Adults Allowed,X114-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
B,Completely Locked,06/22/2020 03:13:12 PM,B223PE,B223PE,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Borinquen Pl., Rodney St. and S. 1 St.",Rodney Playground North,POINT (-73.95510560968707 40.710878644964936),Unknown,B223PE-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
M,Completely Locked,06/22/2020 01:38:21 PM,M165,M165,,UnderConstruction,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Corner of Baruch Pl. and Mangin St.,Baruch Playground,POINT (-73.97679189486652 40.71684043007303),Adults Allowed,M165-CPA-0001,03/31/2020 07:11:11 PM,,103,M-03
B,Completely Locked,06/23/2020 10:08:49 AM,B316,B316,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Ave. F bet. McDonald Ave. and E. 2 St.,DiGilio Playground,POINT (-73.977267648536 40.632912293151854),Unknown,B316-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,314,B-14
Q,Completely Locked,06/21/2020 06:41:49 PM,Q290,Q290,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Central Ave. bet. 70 St. and 71 St.,"""Uncle"" Vito F. Maranzano Glendale Playground",POINT (-73.88172968853043 40.70469379501874),Adults Allowed,Q290-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:00:00 AM,405,Q-05
Q,Not Lockable,06/22/2020 03:11:32 PM,Q031,Q031,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"52 St., Woodside Ave. bet. 39 Rd. and 39 Dr.",Lawrence Virgilio Playground,POINT (-73.9103695289947 40.74746268426398),Adults Allowed,Q031-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,402,Q-02
B,Completely Locked,06/23/2020 12:09:12 PM,B058,B058-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Lorimer St, Driggs Ave",Vincent V Abate Plgd,POINT (-73.9499625093795 40.721270829689836),Unknown,B058-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
R,Partially Locked,06/19/2020 01:55:06 PM,R038,R038,,Reopened,,,,Midland Playground,POINT (-74.0911379129618 40.568603430345895),,,03/31/2020 07:11:11 PM,06/19/2020 12:00:00 AM,502,R-02B
X,Completely Locked,06/22/2020 09:39:14 AM,X154,X154,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Courtlandt Av bet. E 154 St and E 155 St,Melrose Playground,POINT (-73.91814726553423 40.82044315521294),Adults Allowed,X154-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
Q,Partially Locked,06/21/2020 03:03:32 PM,Q448,Q448-01,,Reopened,false,Not Applicable,"Merrick Blvd., Baisley Blvd. 120 Ave.",Nautilus Playground,POINT (-73.77015997408743 40.68452064593484),Unknown,Q448-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:03:28 PM,412,Q-12
Q,Completely Locked,06/23/2020 10:56:08 AM,Q099,Q099-18,,Reopened,true,Level 1: Playgrounds for All Children,111 St & Saultell & 56 Aves,Playground For All Children,POINT (-73.84895366532423 40.74118810198358),Unknown,Q099-CPA-0005,03/31/2020 07:11:11 PM,06/23/2020 10:56:07 AM,481,Q-15
R,Completely Locked,06/22/2020 02:48:54 PM,R053,R053,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Foste Rd., Carlton Ave., Drumgoole Rd. W.",Carlton Park,POINT (-74.20224650915591 40.53334176012093),Unknown,R053-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,503,R-03
B,Completely Locked,06/23/2020 10:01:04 AM,B215,B215,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Decatur St., Macdonough St. bet. Lewis Ave. and Marcus Garvey Blvd.",Decatur Playground,POINT (-73.9367617762036 40.68139809214805),Adults Allowed,B215-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,303,B-03
Q,Partially Locked,06/19/2020 02:01:03 PM,Q052,Q052-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,85 Ave & 165 St,Captain Tilly Playground,POINT (-73.79919484401597 40.71257593550833),Adults not allowed in some locations,Q052-CPA-0001,03/31/2020 07:11:11 PM,06/19/2020 02:00:28 PM,408,Q-08
X,Completely Locked,06/22/2020 10:01:31 AM,X147B,X147B,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Boone Av bet. W Farms Rd and Freeman St,Daniel Boone Playground,POINT (-73.88600572547502 40.82964814783355),Adults Allowed,X147B-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,203,X-03
R,Completely Locked,06/22/2020 04:52:16 PM,R144,R144,,Reopened,false,Not Applicable,"Bowen St., Vanderbilt Ave., Targee St.",Sobel Court Park,POINT (-74.08322829516628 40.61479777192531),Adults not allowed in some locations,R144-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 04:52:14 PM,501,R-01
Q,Partially Locked,06/23/2020 11:05:21 AM,Q381,Q381,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Francis Lewis Blvd., 201 St. bet. 42 Ave. and Station Rd.",Francis Lewis Playground,POINT (-73.78403065736686 40.7606310222825),Adults Allowed,Q381-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 11:00:00 AM,411,Q-11
B,Completely Locked,06/22/2020 03:18:39 PM,B142,B142,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,Bedford Ave. bet. S. 9 St. and Division Ave.,Bedford Playground,POINT (-73.96401899423562 40.708099934398),Adults Allowed,B142-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,301,B-01
X,Completely Locked,06/22/2020 11:05:53 AM,X178,X178,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Mathews Ave. bet. Morris Park Ave. and Rhinelander Ave.,Matthews Muliner Playground,POINT (-73.86156191742903 40.847022155975885),Adults Allowed,X178-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,211,X-11
