Borough,ClosureType,EditDate,GISpropNum,OMPpropID,Red Sign Installed,Status,accessibility,accessibilityLevel,location,name,point,rules,system,Approx Date Closed,Approx Date Reopened,Community Board,District
Q,Completely Locked,06/21/2020 04:56:36 PM,Q367,Q367,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.,Hammel Playground,POINT (-73.80967323478804 40.58821562102592),Adults Allowed,Q367-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 04:56:33 PM,414,Q-14
Q,Completely Locked,06/21/2020 03:11:39 PM,Q301,Q301,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.",Jamaica Playground,POINT (-73.79028051894427 40.693199649186504),Adults Allowed,Q301-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 03:00:00 PM,412,Q-12
Q,Completely Locked,06/22/2020 06:30:59 PM,Q395,Q395,,Reopened,,,"37 St., 38 St., bet. 20 Rd. and 20 Ave.",Steinway Playground,POINT (-73.9034653821071 40.77642967873722),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,401,Q-01
X,Partially Locked,06/22/2020 09:35:38 AM,X045,X045-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Jackson Ave & 144 St,St Mary's Playground East,POINT (-73.91049045022089 40.810364449542426),Adults Allowed,X045-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,201,X-01
Q,Partially Locked,06/21/2020 12:55:58 PM,Q009,Q009-01,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Poppenhusen Ave, opp 119 St",MacNeil Playground,POINT (-73.85113093392734 40.793337138932976),Unknown,Q009-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:55:56 PM,407,Q-07
M,Completely Locked,06/22/2020 01:09:00 PM,M215,M215,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"99 St. To 100 St., 3 Ave.",Cherry Tree Park,POINT (-73.94748026436802 40.78722837088255),Adults Allowed,M215-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,111,M-11
B,Completely Locked,06/22/2020 12:32:10 PM,B345,B345,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Wortman Ave. between Vermont St. and New Jersey Ave.,Ethan Allen Playground,POINT (-73.88682379786808 40.65585629660202),Adults Allowed,B345-CPA-0001,03/31/2020 07:11:11 PM,06/20/2020 12:00:00 AM,305,B-05
B,Completely Locked,06/22/2020 03:29:41 PM,B042,B042,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,"18 Ave., 19 Ave., bet. 55 St. and 58 St.",Gravesend Park,POINT (-73.98503779674735 40.62359477300687),Adults not allowed in some locations,B042-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,312,B-12
B,Completely Locked,06/22/2020 01:46:50 PM,B057,B057-06,,Reopened,,,,Seba Playground,POINT (-73.92030019627312 40.589231188161264),,,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,318,B-18
M,Completely Locked,06/22/2020 11:46:50 AM,M042,M042-03,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,W 214 St & Seaman Ave,Indian Road Plgd,POINT (-73.91989754303675 40.87167822645559),Adults not allowed in some locations,M042-CPA-0003,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,112,M-12
B,Completely Locked,06/24/2020 10:46:06 AM,B404,B404,,Reopened,false,Not Applicable,E. 94 St. bet. Rutland Rd. and E. New York Ave.,East Flatbush Children's Playground,POINT (-73.92699383493535 40.663244954498914),Adults not allowed in some locations,B404-CPA-0001,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,317,B-17
X,Completely Locked,06/22/2020 10:49:43 AM,X002,X002-14,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Bronx River Pkwy & Rosewood St,Rosewood Playground,POINT (-73.87088898837483 40.873068945217135),Adults Allowed,X002-CPA-0006,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,212,X-14
R,Completely Locked,06/23/2020 10:15:20 AM,R016,R016-01,,Reopened,false,Not Applicable,"Cedar Grove Ave, New Dorp Ln, Neptune St",Corporal Allan F. Kivlehan Park,POINT (-74.09771657412561 40.56385302486341),Adults Allowed,R016-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,595,R-03
Q,Completely Locked,06/21/2020 06:55:59 PM,Q425,Q425,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Yellowstone Blvd. bet. 68 Ave. and 68 Rd.,Yellowstone Park,POINT (-73.8479286680021 40.726169539680456),Adults Allowed,Q425-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 09:45:00 AM,406,Q-06
M,Completely Locked,06/22/2020 11:58:32 AM,M010,M010-143,,Reopened,false,Not Applicable,79 St & 5 Av,Pat Hoffman Friedman Plgd,POINT (-73.96403322385734 40.777712263006116),Unknown,M010-CPA-0007,03/31/2020 07:11:11 PM,06/23/2020 12:00:00 AM,164,M-13
X,Completely Locked,06/22/2020 09:40:13 AM,X348,X348-01,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,North Side Of E 157th St & River Ave,River Avenue Parks,POINT (-73.92675941456217 40.82579092676361),Adults not allowed in some locations,X348-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,204,X-04
B,Completely Locked,06/22/2020 04:33:21 PM,B223H,B223H,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Columbia Hts. at Middagh St.,Harry Chapin Playground,POINT (-73.99489958008606 40.70067368394003),Adults not allowed in some locations,B223H-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 12:00:00 AM,302,B-02
Q,Not Lockable,06/21/2020 11:39:53 AM,Q134,Q134,,Reopened,true,Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings,240 St. bet. Braddock Ave. and Fairbury Ave.,Breininger Park,POINT (-73.72901207063231 40.726342737695056),Unknown,Q134-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 11:39:50 AM,413,Q-13
X,Completely Locked,06/22/2020 10:17:13 AM,X148E,X148E,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,Cross Bronx Exwy Service Rd N bet. Topping Av and Clay Av,Peace Park,POINT (-73.9050033263655 40.8451929127981),Adults Allowed,X148E-CPA-0001,03/31/2020 07:11:11 PM,06/21/2020 12:00:00 AM,205,X-05
R,Completely Locked,06/22/2020 04:52:16 PM,R069,R069,,Reopened,true,Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features,"Foote Ave., Howard Ave., Martha St., Clove Rd.",Terrace Playground,POINT (-74.09824150683279 40.613896710286454),Adults Allowed,R069-CPA-0001,03/31/2020 07:11:11 PM,06/22/2020 04:52:14 PM,501,R-01
