Borough,ClosureType,EditDate,FeatureType,PropID,PropName,PropNum,SiteName,Status,point,Approx Date Closed,Approx Date Reopened
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B357,Jackie Robinson Playground,B357,Jackie Robinson Playground,Active,POINT (-73.95923738577667 40.665790351540096),,
Q,Temporary Fencing,06/21/2020 07:07:54 PM,Exercise Equipment,Q128,London Planetree Playground,Q128,London Planetree Playground,Reopened,POINT (-73.85324212334196 40.686139829325434),04/11/2020 06:46:34 PM,06/21/2020 09:45:00 AM
M,Taped Off,06/22/2020 04:11:41 PM,Exercise Equipment,M011,Chelsea Park,M011,Chelsea Park,Reopened,POINT (-74.00072824876388 40.74994165135954),04/10/2020 01:12:14 PM,06/21/2020 12:00:00 AM
M,Completely Locked,06/22/2020 04:20:32 PM,Exercise Equipment,M238,Bloomingdale Playground,M238,Bloomingdale Playground,Reopened,POINT (-73.96600104027476 40.79917221464702),04/09/2020 03:22:59 PM,06/21/2020 12:00:00 AM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X126-ZN04,Ferry Point Park,X126,Ferry Point Park Zone 4,Active,POINT (-73.8257334075983 40.819745433218365),,
M,Temporary Fencing,06/22/2020 04:33:41 PM,Exercise Equipment,M198,"Martin Luther King, Jr. Playground",M198,"Martin Luther King, Jr. Playground",Reopened,POINT (-73.95046394626499 40.79983407374057),04/15/2020 04:27:34 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/23/2020 02:54:45 PM,Exercise Equipment,B156,Powell Playground,B156,Powell Playground,Reopened,POINT (-73.90482748554767 40.671272940120616),04/10/2020 05:01:55 PM,06/20/2020 12:00:00 AM
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R109-01,CPL. Thompson Park,R109,Corporal Thompson Playground,Active,POINT (-74.11803173698999 40.63892148395194),,
R,,04/09/2020 03:20:54 PM,Exercise Equipment,R106-ZN03,Bloomingdale Park,R106,Bloomingdale Park Zone 3,Active,POINT (-74.2094651280486 40.53302586858849),,
B,Completely Locked,06/23/2020 02:57:09 PM,Exercise Equipment,B267,Winthrop Playground,B267,Winthrop Playground,Reopened,POINT (-73.95436927754135 40.656569624722536),04/10/2020 01:01:20 PM,06/22/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 12:29:29 PM,Exercise Equipment,Q437,Murray Hill Playground,Q437,Murray Hill Playground,Reopened,POINT (-73.81183043181511 40.76166701382999),04/11/2020 07:27:49 PM,06/23/2020 12:29:28 PM
B,Completely Locked,06/23/2020 02:56:55 PM,Exercise Equipment,B193,Hamilton Metz Field,B193,Hamilton Metz Field,UnderConstruction,POINT (-73.94096520005297 40.6625664067098),04/10/2020 01:00:52 PM,
Q,Completely Locked,06/22/2020 05:16:50 PM,Exercise Equipment,Q205A,Big Bush Playground,Q205A,Big Bush Playground,Reopened,POINT (-73.90262797225797 40.7396080387653),04/11/2020 05:46:31 PM,
B,Taped Off,06/23/2020 02:55:32 PM,Exercise Equipment,B087,Sunset Park,B087,Sunset Park,Reopened,POINT (-74.00374340596935 40.64797630201613),04/10/2020 12:37:25 PM,06/22/2020 12:00:00 AM
X,Temporary Fencing,06/22/2020 09:31:09 AM,Exercise Equipment,X041,Pulaski Park,X041,Pulaski Park,Reopened,POINT (-73.92456568539104 40.80524231318758),04/13/2020 01:33:19 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 02:20:32 PM,Exercise Equipment,B266,Star Spangled Playground,B266,Star Spangled Playground,Reopened,POINT (-73.95795318223661 40.69189603258584),04/10/2020 12:26:32 PM,06/22/2020 12:00:00 AM
B,Completely Locked,06/22/2020 01:11:04 PM,Exercise Equipment,B110,Marion Hopkinson Playground,B110,Marion Hopkinson Playground,Reopened,POINT (-73.91331971321605 40.681781155300754),04/10/2020 05:01:31 PM,06/20/2020 12:00:00 AM
B,Completely Locked,06/22/2020 03:21:15 PM,Exercise Equipment,B055,Sternberg Park,B055,Sternberg Park,Reopened,POINT (-73.94724412443163 40.70622664370648),04/10/2020 11:36:06 AM,06/21/2020 12:00:00 AM
X,Temporary Fencing,06/22/2020 10:00:13 AM,Exercise Equipment,X029,Lyons Square Playground,X029,Lyons Square Park,Reopened,POINT (-73.88807089854696 40.82277492741598),04/14/2020 11:20:43 AM,06/21/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 11:03:53 AM,Exercise Equipment,Q448-ZN03,Roy Wilkins Recreation Center,Q448,Roy Wilkins Rec Center Zone 3,Reopened,POINT (-73.77385916183722 40.68816534920979),04/12/2020 05:18:58 PM,06/23/2020 11:00:00 AM
Q,Temporary Fencing,06/22/2020 10:20:18 AM,Exercise Equipment,Q300-05,Kissena Corridor Park,Q300,Rachel Carson Playground,Reopened,POINT (-73.82235858041797 40.749125525041045),04/11/2020 07:27:04 PM,06/22/2020 10:20:14 AM
M,Completely Locked,06/19/2020 10:01:28 AM,Exercise Equipment,M064,Lillian D Wald Playground,M064,Lillian D Wald Playground,Reopened,POINT (-73.98436372971324 40.71204164572226),04/10/2020 11:56:13 AM,06/19/2020 12:00:00 AM
Q,,06/23/2020 03:43:44 PM,Exercise Equipment,Q163-ZN07A,Rockaway Beach and Boardwalk Zone,Q163,Rockaway Beach and Boardwalk Zone 7a,Active,POINT (-73.82370017231392 40.581331913552965),,06/07/2020 12:00:00 AM
X,,04/09/2020 03:24:38 PM,Exercise Equipment,X002-ZN03,Bronx Park,X002,Bronx Park Zone 3,Active,POINT (-73.87119701199138 40.87040913182152),,
Q,Completely Locked,06/21/2020 07:04:08 PM,Exercise Equipment,Q131,Frank Principe Park,Q131,Frank Principe Park,Reopened,POINT (-73.90473912871441 40.72746741591657),04/11/2020 05:53:11 PM,06/21/2020 10:00:00 AM
X,Completely Locked,06/22/2020 10:25:41 AM,Exercise Equipment,X085,Slattery Playground,X085,Slattery Playground,Reopened,POINT (-73.89848043408038 40.85730590161171),04/16/2020 02:39:16 PM,06/21/2020 12:00:00 AM
Q,,06/23/2020 09:27:34 AM,Exercise Equipment,Q361,Moore Homestead Playground,Q361,Moore Homestead Playground,UnderConstruction,POINT (-73.88239704521078 40.742141940089475),,
B,Completely Locked,06/22/2020 11:37:27 AM,Exercise Equipment,B283,Belmont Playground,B283,Belmont Playground,Reopened,POINT (-73.86284220864064 40.6754935543911),04/10/2020 04:59:50 PM,06/20/2020 12:00:00 AM
Q,Temporary Fencing,06/23/2020 09:23:00 AM,Exercise Equipment,Q410,Hinton Park,Q410,Hinton Park,Reopened,POINT (-73.85494271577642 40.75601123478801),04/11/2020 05:57:18 PM,06/23/2020 09:15:00 AM
B,Blocked with Barricade,06/22/2020 12:23:12 PM,Exercise Equipment,B078,Grace Playground,B078,Grace Playground,Reopened,POINT (-73.8944393083876 40.67137474004914),04/10/2020 04:57:22 PM,06/20/2020 12:00:00 AM
Q,Temporary Fencing,06/21/2020 07:38:51 PM,Exercise Equipment,Q051,St. Albans Park,Q051,St. Albans Park,Reopened,POINT (-73.77931569080786 40.69304017537922),04/12/2020 05:32:18 PM,06/21/2020 02:30:00 PM
B,Blocked with Barricade,06/22/2020 01:09:16 PM,Exercise Equipment,B219,Callahan-Kelly Playground,B219,Callahan-Kelly Playground,Reopened,POINT (-73.90531416915717 40.678359753394396),04/10/2020 05:02:29 PM,06/21/2020 12:00:00 AM
B,Completely Locked,06/22/2020 03:03:10 PM,Exercise Equipment,B058-ZN02,McCarren Park,B058,McCarren Park Zone 2,Reopened,POINT (-73.95139123902742 40.72002512270835),04/17/2020 10:39:45 AM,06/21/2020 12:00:00 AM
B,,04/09/2020 03:15:34 PM,Exercise Equipment,B137,Sixteen Sycamores Playground,B137,Sixteen Sycamores Playground,Active,POINT (-73.9810056827376 40.68679172680519),,
M,Temporary Fencing,06/22/2020 04:25:59 PM,Exercise Equipment,M111,James Weldon Johnson Playground,M111,James Weldon Johnson Playground,Reopened,POINT (-73.94185672170153 40.7971783560792),04/13/2020 01:17:18 PM,06/21/2020 12:00:00 AM
