"borough","ClosureType","EditDate","FeatureType","PropID","PropName","PropNum","SiteName","Status","longitude","latitude","Approx.Date.Closed","Approx.Date.Reopened","button","content"
"Bronx","Completely Locked","06/22/2020 10:23:30 AM","Exercise Equipment","X102","Ciccarone Park","X102","Ciccarone Park","Reopened",-73.8867043823755,40.8559661896292,"04/10/2020 10:29:34 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Ciccarone Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B057-ZN03","Marine Park","B057","Marine Park Zone 3","Active",-73.9354495707199,40.6040804117619,"","","AdultExerciseEquip","Marine Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Blocked with Barricade","06/21/2020 11:31:08 AM","Exercise Equipment","Q364","Marie Curie Playground","Q364","Marie Curie Playground","Reopened",-73.7717787502111,40.756935696655,"04/11/2020 07:29:31 PM","06/21/2020 11:31:06 AM","AdultExerciseEquip","Marie Curie Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Blocked with Barricade","06/22/2020 12:20:00 PM","Exercise Equipment","B149A","Elton Playground","B149A","Elton Playground","Reopened",-73.8807388813745,40.6659325553079,"04/10/2020 04:58:34 PM","06/20/2020 12:00:00 AM","AdultExerciseEquip","Elton Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 02:18:02 PM","Exercise Equipment","B294","Jackie Robinson Park Playground","B294","Jackie Robinson Park Playground","Reopened",-73.9278117157881,40.6802120201089,"04/10/2020 12:27:26 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Jackie Robinson Park Playground, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/19/2020 09:59:41 AM","Exercise Equipment","M171","Cherry Clinton Playground","M171","Cherry Clinton Playground","Reopened",-73.986280295213,40.7113129365616,"04/10/2020 11:57:06 AM","06/19/2020 12:00:00 AM","AdultExerciseEquip","Cherry Clinton Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 10:39:42 AM","Exercise Equipment","M041","Alexander Hamilton Playground","M041","Alexander Hamilton Playground","Reopened",-73.9512856117871,40.8230791550686,"04/10/2020 02:13:47 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Alexander Hamilton Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 09:49:25 AM","Exercise Equipment","X148A2","Plimpton Playground","X148A2","Plimpton Playground","Reopened",-73.9224178399698,40.8439253318588,"04/16/2020 10:43:03 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Plimpton Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 11:03:34 AM","Exercise Equipment","Q105","Howard Von Dohlen Playground","Q105","Howard Von Dohlen Playground","Reopened",-73.8129783429311,40.6994401845565,"04/11/2020 07:31:04 PM","06/23/2020 11:00:00 AM","AdultExerciseEquip","Howard Von Dohlen Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B052-03","Leif Ericson Park","B052","Leif Ericson Park Playground","Active",-74.0119042315792,40.6308182643038,"","","AdultExerciseEquip","Leif Ericson Park, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Bronx","Completely Locked","06/22/2020 10:27:27 AM","Exercise Equipment","X257","Mount Hope Playground","X257","Mount Hope Playground","Reopened",-73.9094394380745,40.8502983337139,"04/10/2020 02:14:11 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Mount Hope Playground, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/23/2020 11:01:11 AM","Exercise Equipment","Q005-12","Baisley Pond Park","Q005","Rockaway Blvd Playground","Reopened",-73.7877212927458,40.6725676125228,"04/11/2020 06:55:11 PM","06/23/2020 11:00:00 AM","AdultExerciseEquip","Baisley Pond Park, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","Completely Locked","06/22/2020 01:58:26 PM","Exercise Equipment","B129-ZN01","Kaiser Park","B129","Kaiser Park Zone 1","Reopened",-73.9946104382313,40.5785609783044,"04/10/2020 04:06:07 PM","06/22/2020 12:00:00 AM","AdultExerciseEquip","Kaiser Park, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","Temporary Fencing","06/22/2020 10:38:47 AM","Exercise Equipment","X080-03","Henry Hudson Park","X080","Henry Hudson Playground (West)","Reopened",-73.9204390389061,40.8811846790072,"04/17/2020 12:35:55 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Henry Hudson Park, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Blocked with Barricade","06/22/2020 03:53:26 PM","Exercise Equipment","M010-ZN28","Central Park","M010","Ross Pinetum","Reopened",-73.9680827985028,40.7829491868549,"04/10/2020 11:59:36 AM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Central Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Queens","","04/11/2020 05:48:33 PM","Exercise Equipment","Q471-ZN02","Hunter's Point South Park","Q471","Hunter's Point South Park Zone 2","Active",-73.961598629998,40.7394256219226,"","","AdultExerciseEquip","Hunter's Point South Park, Queens, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Brooklyn","","04/09/2020 03:15:34 PM","Exercise Equipment","B357","Jackie Robinson Playground","B357","Jackie Robinson Playground","Active",-73.9592373857767,40.6657903515401,"","","AdultExerciseEquip","Jackie Robinson Playground, Brooklyn, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
"Queens","Temporary Fencing","06/21/2020 07:07:54 PM","Exercise Equipment","Q128","London Planetree Playground","Q128","London Planetree Playground","Reopened",-73.853242123342,40.6861398293254,"04/11/2020 06:46:34 PM","06/21/2020 09:45:00 AM","AdultExerciseEquip","London Planetree Playground, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Taped Off","06/22/2020 04:11:41 PM","Exercise Equipment","M011","Chelsea Park","M011","Chelsea Park","Reopened",-74.0007282487639,40.7499416513595,"04/10/2020 01:12:14 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Chelsea Park, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Manhattan","Completely Locked","06/22/2020 04:20:32 PM","Exercise Equipment","M238","Bloomingdale Playground","M238","Bloomingdale Playground","Reopened",-73.9660010402748,40.799172214647,"04/09/2020 03:22:59 PM","06/21/2020 12:00:00 AM","AdultExerciseEquip","Bloomingdale Playground, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Features: </b>Exercise Equipment"
"Bronx","","04/09/2020 03:24:38 PM","Exercise Equipment","X126-ZN04","Ferry Point Park","X126","Ferry Point Park Zone 4","Active",-73.8257334075983,40.8197454332184,"","","AdultExerciseEquip","Ferry Point Park, Bronx, NY<br/><b>Status: </b>Active<br/><b>Features: </b>Exercise Equipment"
